Mode,Operation,OpCode,No.Bytes,No.Cycles,BoundaryCross
Immediate     ,   ADC #Oper           ,    69   ,    2    ,    2,0
Zero Page     ,   ADC Oper            ,    65   ,    2    ,    3,0
Zero Page X   ,   ADC Oper X          ,    75   ,    2    ,    4,0
Absolute      ,   ADC Oper            ,    60   ,    3    ,    4,0
Absolute X    ,   ADC Oper X          ,    70   ,    3    ,    4,1 
Absolute Y    ,   ADC Oper Y          ,    79   ,    3    ,    4,1 
Indirect X    ,   ADC (Oper X)        ,    61   ,    2    ,    6,0
Indirect Y    ,   ADC (Oper Y)        ,    71   ,    2    ,    5,1 
Immediate     ,   AND #Oper           ,    29   ,    2    ,    2,0
Zero Page     ,   AND Oper            ,    25   ,    2    ,    3,0
Zero Page X   ,   AND Oper X          ,    35   ,    2    ,    4,0
Absolute      ,   AND Oper            ,    2D   ,    3    ,    4,0
Absolute X    ,   AND Oper X          ,    3D   ,    3    ,    4,1 
Absolute Y    ,   AND Oper Y          ,    39   ,    3    ,    4,1 
Indirect X    ,   AND (Oper X)        ,    21   ,    2    ,    6,0
Indirect Y    ,   AND (Oper Y)        ,    31   ,    2    ,    5,0
Accumulator   ,   ASL A               ,    0A   ,    1    ,    2,0
Zero Page     ,   ASL Oper            ,    06   ,    2    ,    5,0
Zero Page X   ,   ASL Oper X          ,    16   ,    2    ,    6,0
Absolute      ,   ASL Oper            ,    0E   ,    3    ,    6,0
Absolute  X   ,   ASL Oper X          ,    1E   ,    3    ,    7,0
Relative      ,   BCC Oper            ,    90   ,    2    ,    2,1 
Relative      ,   BCS Oper            ,    B0   ,    2    ,    2,1 
Relative      ,   BEQ Oper            ,    F0   ,    2    ,    2,1 
Zero Page     ,   BIT Oper            ,    24   ,    2    ,    3,0
Absolute      ,   BIT Oper            ,    2C   ,    3    ,    4,0
Relative      ,   BMI Oper            ,    30   ,    2    ,    2,1 
Relative      ,   BMI Oper            ,    D0   ,    2    ,    2,1 
Relative      ,   BPL Oper            ,    10   ,    2    ,    2,1 
Implied       ,   BRK                 ,    00   ,    1    ,    7,0
Relative      ,   BVC Oper            ,    50   ,    2    ,    2,1 
Relative      ,   BVS Oper            ,    70   ,    2    ,    2,1 
Implied       ,   CLC                 ,    18   ,    1    ,    2,0
Implied       ,   CLD                 ,    D8   ,    1    ,    2,0
Implied       ,   CLI                 ,    58   ,    1    ,    2,0
