immidiate,ADC,#oper,69,2,2,0
zeropage,ADC,oper,65,2,3,0
"zeropage,X",ADC,"oper,X",75,2,4,0
absolute,ADC,oper,6D,3,4,0
"absolute,X",ADC,"oper,X",7D,3,4,1
"absolute,Y",ADC,"oper,Y",79,3,4,1
"(indirect,X)",ADC,"(oper,X)",61,2,6,0
"(indirect),Y",ADC,"(oper),Y",71,2,5,1
immidiate,AND,#oper,29,2,2,0
zeropage,AND,oper,25,2,3,0
"zeropage,X",AND,"oper,X",35,2,4,0
absolute,AND,oper,2D,3,4,0
"absolute,X",AND,"oper,X",3D,3,4,1
"absolute,Y",AND,"oper,Y",39,3,4,1
"(indirect,X)",AND,"(oper,X)",21,2,6,0
"(indirect),Y",AND,"(oper),Y",31,2,5,1
accumulator,ASL,A,0A,1,2,0
zeropage,ASL,oper,6,2,5,0
"zeropage,X",ASL,"oper,X",16,2,6,0
absolute,ASL,oper,0E,3,6,0
"absolute,X",ASL,"oper,X",1E,3,7,0
relative,BCC,oper,90,2,2,1
relative,BCS,oper,B0,2,2,1
relative,BEQ,oper,F0,2,2,1
zeropage,BIT,oper,24,2,3,0
absolute,BIT,oper,2C,3,4,0
relative,BMI,oper,30,2,2,1
relative,BNE,oper,D0,2,2,1
relative,BPL,oper,10,2,2,1
implied,BRK,,0,1,7,0
relative,BVC,oper,50,2,2,1
relative,BVC,oper,70,2,2,1
implied,CLC,,18,1,2,0
implied,CLD,,D8,1,2,0
implied,CLI,,58,1,2,0
implied,CLV,,B8,1,2,0
immidiate,CMP,#oper,C9,2,2,0
zeropage,CMP,oper,C5,2,3,0
"zeropage,X",CMP,"oper,X",D5,2,4,0
absolute,CMP,oper,CD,3,4,0
"absolute,X",CMP,"oper,X",DD,3,4,1
"absolute,Y",CMP,"oper,Y",D9,3,4,1
"(indirect,X)",CMP,"(oper,X)",C1,2,6,0
"(indirect),Y",CMP,"(oper),Y",D1,2,5,1
immidiate,CPX,#oper,E0,2,2,0
zeropage,CPX,oper,E4,2,3,0
absolute,CPX,oper,EC,3,4,0
immidiate,CPY,#oper,C0,2,2,0
zeropage,CPY,oper,C4,2,3,0
absolute,CPY,oper,CC,3,4,0
zeropage,DEC,oper,C6,2,5,0
"zeropage,X",DEC,"oper,X",D6,2,6,0
absolute,DEC,oper,CE,3,3,0
"absolute,X",DEC,"oper,X",DE,3,7,0
implied,DEC,,CA,1,2,0
implied,DEC,,88,1,2,0
immidiate,EOR,#oper,49,2,2,0
zeropage,EOR,oper,45,2,3,0
"zeropage,X",EOR,"oper,X",55,2,4,0
absolute,EOR,oper,4D,3,4,0
"absolute,X",EOR,"oper,X",5D,3,4,1
"absolute,Y",EOR,"oper,Y",59,3,4,1
"(indirect,X)",EOR,"(oper,X)",41,2,6,0
"(indirect),Y",EOR,"(oper),Y",51,2,5,1
zeropage,INC,oper,E6,2,5,0
"zeropage,X",INC,"oper,X",F6,2,6,0
absolute,INC,oper,EE,3,6,0
"absolute,X",INC,"oper,X",FE,3,7,0
implied,INX,,E8,1,2,0
implied,INY,,C8,1,2,0
absolute,JMP,oper,4C,3,3,0
indirect,JMP,(oper),6C,3,5,0
absolute,JSR,oper,20,3,6,0
immidiate,LDA,#oper,A9,2,2,0
zeropage,LDA,oper,A5,2,3,0
"zeropage,X",LDA,"oper,X",B5,2,4,0
absolute,LDA,oper,AD,3,4,0
"absolute,X",LDA,"oper,X",BD,3,4,1
"absolute,Y",LDA,"oper,Y",B9,3,4,1
"(indirect,X)",LDA,"(oper,X)",A1,2,6,0
"(indirect),Y",LDA,"(oper),Y",B1,2,5,1
immidiate,LDX,#oper,A2,2,2,0
zeropage,LDX,oper,A6,2,3,0
"zeropage,Y",LDX,"oper,Y",B6,2,4,0
absolute,LDX,oper,AE,3,4,0
"absolute,Y",LDX,"oper,Y",BE,3,4,1
immidiate,LDY,#oper,A0,2,2,0
zeropage,LDY,oper,A4,2,3,0
"zeropage,X",LDY,"oper,X",B4,2,4,0
absolute,LDY,oper,AC,3,4,0
"absolute,X",LDY,"oper,X",BC,3,4,1
accumulator,LSR,A,4A,1,2,0
zeropage,LSR,oper,46,2,5,0
"zeropage,X",LSR,"oper,X",56,2,6,0
absolute,LSR,oper,4E,3,6,0
"absolute,X",LSR,"oper,X",5E,3,7,0
implied,NOP,,EA,1,2,0
immidiate,ORA,#oper,9,2,2,0
zeropage,ORA,oper,5,2,3,0
"zeropage,X",ORA,"oper,X",15,2,4,0
absolute,ORA,oper,0D,3,4,0
"absolute,X",ORA,"oper,X",1D,3,4,1
"absolute,Y",ORA,"oper,Y",19,3,4,1
"(indirect,X)",ORA,"(oper,X)",1,2,6,0
"(indirect),Y",ORA,"(oper),Y",11,2,5,1
implied,PHA,,48,1,3,0
implied,PHP,,8,1,3,0
implied,PLA,,68,1,4,0
implied,PHP,,28,1,4,0
accumulator,ROL,A,2A,1,2,0
zeropage,ROL,oper,26,2,5,0
"zeropage,X",ROL,"oper,X",36,2,6,0
absolute,ROL,oper,2E,3,6,0
"absolute,X",ROL,"oper,X",3E,3,7,0
accumulator,ROR,A,6A,1,2,0
